breadth,depth,diversity,quality_score,avg_relevance_score,std_relevance_score,relevance_scores
5,2,0.0,7.0,7.8,0.4472135954999579,8.0|8.0|8.0|7.0|8.0
10,2,0.0,7.0,7.888888888888889,0.3333333333333333,8.0|8.0|8.0|8.0|7.0|8.0|8.0|8.0|8.0
15,2,0.0,7.0,7.928571428571429,0.47463114654932337,8.0|8.0|8.0|8.0|8.0|8.0|7.0|8.0|7.0|8.0|8.0|8.0|8.0|9.0
20,2,0.0,8.0,7.8,0.4140393356054125,8.0|8.0|8.0|7.0|8.0|8.0|8.0|8.0|7.0|8.0|8.0|8.0|7.0|8.0|8.0
10,1,0.0,8.0,7.777777777777778,0.44095855184409843,8.0|7.0|8.0|7.0|8.0|8.0|8.0|8.0|8.0
10,2,0.0,7.0,7.9,0.31622776601683794,8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|7.0|8.0
10,3,0.0,7.0,7.8,0.4216370213557839,8.0|8.0|7.0|8.0|8.0|8.0|8.0|8.0|7.0|8.0
10,4,0.0,8.0,7.777777777777778,0.44095855184409843,8.0|8.0|8.0|8.0|8.0|8.0|8.0|7.0|7.0
10,5,0.0,7.0,7.625,0.5175491695067657,8.0|8.0|8.0|8.0|8.0|7.0|7.0|7.0
10,2,0.0,7.0,7.9,0.31622776601683794,8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|7.0|8.0
10,2,0.33,7.0,7.666666666666667,0.5,7.0|8.0|8.0|7.0|8.0|8.0|8.0|7.0|8.0
10,2,0.66,8.0,7.4,1.5776212754932308,8.0|8.0|7.0|8.0|3.0|8.0|8.0|8.0|8.0|8.0
10,2,1.0,7.0,7.7,0.6749485577105528,8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|7.0|6.0
