breadth,depth,diversity,quality_score,avg_relevance_score,std_relevance_score,relevance_scores
5,2,0.0,8.0,6.2,1.3038404810405297,4.0|7.0|7.0|7.0|6.0
10,2,0.0,7.0,6.5,1.0801234497346435,5.0|7.0|5.0|7.0|7.0|7.0|7.0|5.0|7.0|8.0
15,2,0.0,7.0,6.4,1.3522468075656264,5.0|7.0|7.0|8.0|7.0|3.0|7.0|7.0|7.0|5.0|7.0|7.0|5.0|6.0|8.0
20,2,0.0,8.0,6.647058823529412,1.3666188418222285,3.0|7.0|8.0|8.0|8.0|5.0|7.0|7.0|7.0|5.0|7.0|7.0|5.0|7.0|8.0|7.0|7.0
10,1,0.0,8.0,6.3,1.4944341180973262,3.0|7.0|7.0|7.0|7.0|7.0|7.0|4.0|7.0|7.0
10,2,0.0,8.0,6.0,1.511857892036909,3.0|7.0|5.0|7.0|7.0|5.0|7.0|7.0
10,3,0.0,8.0,6.285714285714286,1.3801311186847085,4.0|7.0|7.0|7.0|5.0|6.0|8.0
10,4,0.0,7.0,6.5,1.0690449676496976,6.0|7.0|7.0|7.0|5.0|5.0|7.0|8.0
10,5,0.0,8.0,6.333333333333333,1.5,3.0|7.0|7.0|7.0|7.0|6.0|5.0|7.0|8.0
10,2,0.0,7.0,6.333333333333333,1.3228756555322954,4.0|7.0|7.0|7.0|7.0|5.0|5.0|7.0|8.0
10,2,0.33,8.0,5.875,1.6420805617960927,7.0|7.0|7.0|5.0|3.0|4.0|7.0|7.0
10,2,0.66,8.0,6.3,1.2516655570345725,4.0|7.0|7.0|6.0|7.0|5.0|7.0|5.0|7.0|8.0
10,2,1.0,8.0,5.5,1.760681686165901,4.0|7.0|3.0|7.0|7.0|5.0
